Year,Player,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2013,Kiko Alonso,4,38,0,32,4,1,0,2,13,0,2.0,159,87,72,11,1,0,10
2013,Daryl Washington,2,49,0,41,11,0,0,1,0,0,3.0,75,59,16,8,12,0,7
2014,Luke Kuechly,1,0,0,0,12,1,0,1,0,0,3.0,153,99,54,9,4,0,15
2014,Justin Houston,0,0,0,0,5,4,0,0,0,0,22.0,69,60,9,23,25,0,17
2014,Von Miller,0,0,0,0,2,1,0,1,2,0,14.0,60,43,17,16,27,0,12
2014,Elvis Dumervil,0,0,0,0,1,2,0,1,0,0,17.0,38,28,10,15,27,0,11
2014,Khalil Mack,0,0,0,0,3,1,0,0,0,0,4.0,76,59,17,16,12,0,7
2014,Clay Matthews,1,40,0,40,9,2,0,0,0,0,11.0,61,45,16,16,22,0,10
2014,Lavonte David,0,0,0,0,4,4,0,1,0,0,1.0,146,101,45,17,4,0,6
2014,Connor Barwin,0,0,0,0,5,2,0,0,0,0,14.5,64,47,17,15,21,0,12
2014,DeAndre Levy,1,13,0,13,4,0,0,0,0,0,2.5,151,117,34,16,4,1,15
2014,Bobby Wagner,0,0,0,0,3,0,0,0,0,0,2.0,104,67,37,10,6,0,13
2014,Tamba Hali,0,0,0,0,0,3,0,1,0,0,6.0,59,47,12,7,11,0,11
2014,Julius Peppers,2,101,2,52,11,4,0,3,2,0,7.0,43,29,14,5,17,0,9
2014,Ryan Kerrigan,0,0,0,0,1,5,0,1,0,0,13.5,64,51,13,18,19,0,8
2014,Terrell Suggs,0,0,0,0,1,0,0,1,0,0,12.0,61,36,25,16,20,1,8
2014,DeMarcus Ware,1,3,0,3,1,2,0,0,0,0,10.0,41,34,7,15,20,0,10
2014,C. J. Mosley,2,23,0,18,8,1,0,1,6,0,3.0,133,88,45,8,12,0,14
2015,Luke Kuechly,4,48,1,32,10,2,0,1,0,0,1.0,118,76,42,7,5,0,15
2015,Von Miller,0,0,0,0,1,4,0,3,0,0,11.0,35,30,5,9,32,0,17
2015,Justin Houston,2,16,1,17,6,1,0,0,0,0,7.5,30,25,5,9,13,0,9
2015,DeMarcus Ware,0,0,0,0,0,1,0,1,0,0,7.5,25,17,8,8,16,0,8
2015,Lavonte David,3,19,1,20,13,2,0,2,0,0,3.0,147,85,62,10,5,0,10
2015,Thomas Davis Sr.,4,22,0,22,7,4,0,1,0,0,5.5,105,75,30,8,12,0,16
2015,Clay Matthews,1,42,0,42,3,0,0,1,0,0,6.5,66,49,17,14,19,0,13
2015,NaVorro Bowman,0,0,0,0,2,1,0,0,0,0,2.5,154,116,38,7,8,0,14
2015,Derrick Johnson,2,23,0,18,8,2,0,0,0,0,4.0,116,95,21,8,5,0,14
2015,Telvin Smith,1,26,1,26,7,2,0,0,0,0,2.5,128,99,29,13,3,0,7
2015,Tamba Hali,0,0,0,0,1,2,0,0,0,0,6.5,48,39,9,11,18,0,9
2016,Von Miller,0,0,0,0,3,3,0,0,0,0,13.5,78,62,16,13,24,0,16
2016,Luke Kuechly,1,16,0,16,6,1,0,0,0,0,2.0,102,71,31,6,4,0,10
2016,Bobby Wagner,1,9,0,9,3,0,0,1,0,0,4.5,167,85,82,7,18,0,17
2016,Vic Beasley,0,0,0,0,2,6,0,1,21,1,15.5,39,32,7,11,16,0,12
2016,Justin Houston,0,0,0,0,1,1,0,0,0,0,4.0,21,20,1,6,6,0,3
2016,Brian Orakpo,0,0,0,0,4,1,0,0,0,0,10.5,46,38,8,13,19,0,11
2016,Sean Lee,0,0,0,0,1,0,0,1,0,0,0.0,145,93,52,12,2,0,16
2016,Clay Matthews,0,0,0,0,3,1,0,0,0,0,5.0,24,20,4,9,9,0,4
2016,Chandler Jones,0,0,0,0,3,4,0,2,0,0,11.0,49,38,11,15,21,0,9
2016,Thomas Davis,3,35,0,31,4,1,0,2,46,1,2.5,106,73,33,5,5,0,11
2016,Lorenzo Alexander,1,28,0,28,6,3,0,0,0,0,12.5,76,56,20,10,22,0,11
2016,Dont'a Hightower,0,0,0,0,2,1,0,0,0,0,2.5,65,31,34,1,8,1,13
2017,Von Miller,0,0,0,0,3,2,0,1,0,0,10.0,57,51,6,17,23,0,12
2017,Luke Kuechly,3,23,0,23,6,1,0,3,34,1,1.5,125,74,51,7,5,0,15
2017,Bobby Wagner,2,7,0,7,6,0,1,1,21,1,1.5,133,97,36,13,13,1,16
2017,Ryan Shazier,3,2,0,2,11,2,0,1,5,0,0.0,89,68,21,3,2,0,9
2017,Telvin Smith,3,56,1,28,5,1,0,2,52,1,1.0,102,76,26,12,2,0,14
2017,Thomas Davis,0,0,0,0,0,0,0,1,0,0,2.5,76,52,24,5,7,0,9
2017,C. J. Mosley,2,94,1,63,7,3,0,3,18,0,1.0,132,96,36,11,5,0,15
2018,Khalil Mack,1,27,1,27,4,6,0,2,0,0,12.5,47,37,10,10,18,0,17
2018,Von Miller,1,42,0,42,3,4,0,3,3,0,14.5,48,29,19,14,26,0,13
2018,Bobby Wagner,1,98,1,98,11,2,0,1,11,0,1.0,138,84,54,6,8,0,17
2018,Luke Kuechly,1,0,0,0,6,2,0,1,0,0,2.0,130,93,37,20,5,0,14
2018,Darius Leonard,2,38,0,28,8,4,1,2,0,0,7.0,163,111,52,12,8,0,18
2018,Jaylon Smith,0,0,0,0,4,2,0,2,69,1,4.0,121,82,39,6,6,0,9
2018,Jadeveon Clowney,0,0,0,0,1,1,0,3,0,1,9.0,47,38,9,16,21,0,12
2018,Jason Pierre-Paul,0,0,0,0,2,1,0,1,0,0,12.5,58,48,10,16,20,0,8
2018,C. J. Mosley,1,0,0,0,5,0,0,0,0,0,0.5,105,70,35,6,2,0,15
2018,Leighton Vander Esch,2,56,0,28,7,0,0,0,0,0,0.0,140,102,38,2,1,0,11
2018,Bradley Chubb,0,0,0,0,1,2,0,1,4,0,12.0,60,41,19,14,21,0,8
2018,T. J. Watt,0,0,0,0,3,6,0,0,0,0,13.0,68,50,18,12,21,0,11
2019,Bobby Wagner,1,6,0,6,6,1,0,1,5,0,3.0,159,86,73,7,4,0,14
2019,Chandler Jones,0,0,0,0,5,8,0,3,0,0,19.0,53,42,11,11,26,0,12
2019,Khalil Mack,0,0,0,0,4,5,0,1,0,0,8.5,47,40,7,8,14,0,11
2019,T. J. Watt,2,7,0,7,8,8,0,4,0,0,14.5,55,35,20,14,36,0,14
2019,Von Miller,0,0,0,0,2,0,0,0,0,0,8.0,46,33,13,10,20,0,11
2019,Shaquil Barrett,1,4,0,4,2,6,0,0,0,0,19.5,58,45,13,19,37,0,13
2019,Za'Darius Smith,0,0,0,0,0,1,0,0,0,0,13.5,55,41,14,17,37,0,12
2019,Darius Leonard,5,92,1,80,7,2,0,0,0,0,5.0,121,71,50,7,6,0,12
2019,Preston Smith,1,5,0,5,4,1,0,0,0,0,12.0,56,36,20,11,23,0,9
2019,Demario Davis,1,1,0,1,12,0,0,0,0,0,4.0,111,87,24,11,9,0,14
2019,Fred Warner,1,46,1,46,9,3,0,0,0,0,3.0,118,89,29,7,5,0,9
2019,Eric Kendricks,0,0,0,0,12,2,0,2,0,0,0.5,110,70,40,4,2,0,15
2019,Jaylon Smith,1,0,0,0,9,2,0,1,6,0,2.5,142,83,59,6,3,0,12
2019,Lavonte David,1,26,0,26,7,3,0,1,0,0,1.0,123,82,41,10,7,0,8
2020,T. J. Watt,1,0,0,0,7,2,0,0,0,0,15.0,53,43,10,23,41,0,18
2020,Fred Warner,2,3,0,3,6,1,0,2,0,0,1.0,125,79,46,5,7,0,19
2020,Khalil Mack,1,33,0,33,3,3,0,2,0,0,9.0,50,29,21,11,13,1,14
2020,Bobby Wagner,0,0,0,0,8,0,0,1,0,0,3.0,138,81,57,7,11,0,14
2020,Darius Leonard,0,0,0,0,7,3,1,2,3,0,3.0,132,86,46,7,3,0,14
2020,Bradley Chubb,0,0,0,0,0,1,0,0,0,0,7.5,42,26,16,9,19,0,10
2020,Lavonte David,1,-5,0,-5,6,3,0,2,0,0,1.5,117,82,35,12,3,0,14
2020,Za'Darius Smith,0,0,0,0,2,4,0,2,0,0,12.5,52,35,17,12,23,0,14
2020,Jason Pierre-Paul,2,15,0,15,6,4,0,2,0,0,9.5,55,34,21,7,14,0,13
2020,Demario Davis,0,0,0,0,5,0,0,0,0,0,4.0,119,73,46,10,12,0,14
2020,Eric Kendricks,3,0,0,0,6,0,0,0,0,0,0.0,107,69,38,4,1,0,5
2020,Shaquil Barrett,0,0,0,0,3,2,0,0,0,0,8.0,57,43,14,11,16,1,8
2010,Darrelle Revis,0,0,0,0,10,0,0,2,10,0,0.0,32,26,6,0,0,0,14
2010,Charles Woodson,2,48,1,48,13,5,0,0,0,0,2.0,92,76,16,7,6,0,14
2010,Nnamdi Asomugha,0,0,0,0,6,0,0,0,0,0,0.0,19,17,2,0,2,0,12
2010,Champ Bailey,2,0,0,0,13,0,0,0,0,0,1.0,45,41,4,3,1,0,7
2010,Asante Samuel,7,70,0,33,14,0,1,1,1,0,0.0,26,22,4,0,0,0,8
2011,Darrelle Revis,4,184,1,100,21,0,0,0,0,0,0.0,52,41,11,1,0,0,17
2011,Charles Woodson,7,63,1,30,17,1,0,1,-1,0,2.0,75,63,12,4,3,0,13
2011,Champ Bailey,2,0,0,0,10,1,0,0,0,0,0.0,39,35,4,1,0,0,8
2011,Patrick Peterson,2,1,0,1,13,0,4,2,-1,0,1.0,64,59,5,1,1,0,22
2011,Carlos Rogers,6,106,1,31,18,0,0,0,0,0,0.0,43,40,3,2,1,0,13
2011,Johnathan Joseph,4,40,0,29,15,1,0,0,0,0,0.0,44,40,4,2,0,0,13
2011,Nnamdi Asomugha,3,10,0,6,5,0,0,0,0,0,0.0,40,35,5,4,0,0,6
2011,Cortland Finnegan,1,8,0,8,11,0,0,1,0,0,1.0,75,58,17,6,3,0,8
2012,Patrick Peterson,7,64,0,31,16,0,7,5,60,0,0.0,55,52,3,2,0,0,13
2012,Charles Tillman,3,71,3,36,16,10,0,2,0,0,0.0,87,75,12,1,0,0,17
2012,Richard Sherman,8,57,1,29,24,3,0,1,0,0,1.0,65,54,11,0,1,0,20
2012,Champ Bailey,2,18,0,18,8,0,0,0,0,0,0.0,66,61,5,3,0,0,12
2012,Darrelle Revis,1,1,0,1,3,0,0,1,0,0,0.0,12,9,3,0,0,0,1
2012,Tim Jennings,9,105,1,31,21,0,0,0,0,0,0.0,60,55,5,1,0,0,13
2012,Brandon Flowers,3,28,0,29,12,0,0,1,64,0,1.0,48,40,8,2,1,0,6
2012,Charles Woodson,1,0,0,0,5,1,0,0,0,0,1.5,38,25,13,1,2,0,3
2013,Richard Sherman,8,125,1,58,16,0,2,2,0,0,0.0,48,38,10,0,1,0,21
2013,Patrick Peterson,3,59,0,43,13,0,3,2,0,0,0.0,42,40,2,0,0,0,16
2013,Darrelle Revis,2,3,0,3,11,2,0,1,0,0,1.0,50,43,7,3,1,0,6
2013,Joe Haden,4,57,1,29,20,0,0,0,0,0,0.0,54,43,11,0,0,0,12
2013,Tim Jennings,4,111,2,48,13,2,0,1,0,0,0.0,58,50,8,0,0,0,8
2013,Aqib Talib,4,12,0,14,14,1,0,1,0,0,0.0,41,35,6,1,0,0,12
2013,Brent Grimes,4,102,1,94,17,0,0,0,0,0,0.0,60,52,8,1,1,0,10
2014,Richard Sherman,4,81,0,53,8,1,0,0,0,0,0.0,57,45,12,2,0,0,18
2014,Darrelle Revis,2,0,0,0,14,1,0,1,0,0,0.0,47,41,6,2,0,0,15
2014,Patrick Peterson,3,30,1,30,7,0,0,0,0,0,1.0,50,43,7,0,1,0,9
2014,Joe Haden,3,0,0,0,20,1,0,2,34,0,0.0,73,58,15,1,0,0,11
2014,Brent Grimes,5,80,1,32,12,1,0,0,0,0,0.0,57,47,10,1,0,0,10
2014,Vontae Davis,4,72,0,42,18,2,0,1,-9,0,0.0,42,35,7,0,1,0,11
2015,Josh Norman,4,110,2,46,18,3,0,2,12,0,0.0,56,48,8,3,0,0,15
2015,Patrick Peterson,2,41,0,40,8,1,4,0,0,0,0.0,35,35,0,1,0,0,15
2015,Richard Sherman,2,30,0,26,14,0,0,0,0,0,0.0,50,33,17,1,0,0,15
2015,Darrelle Revis,5,48,0,24,9,0,0,4,18,0,0.0,39,30,9,0,0,0,11
2015,Aqib Talib,3,123,2,63,13,0,0,0,0,0,0.0,45,39,6,1,0,0,10
2015,Chris Harris Jr.,2,94,1,74,6,2,0,0,0,0,0.0,58,49,9,4,0,0,13
2015,Marcus Peters,8,280,2,90,26,1,0,0,0,0,0.0,60,53,7,2,0,0,12
2016,Patrick Peterson,3,27,0,25,6,0,1,1,0,0,0.0,51,45,6,1,0,0,10
2016,Richard Sherman,4,37,0,31,13,0,0,1,14,0,0.0,58,38,20,2,0,0,9
2016,Marcus Peters,6,63,0,28,20,1,0,3,31,0,0.0,45,35,10,0,0,0,16
2016,Aqib Talib,3,86,1,46,12,0,0,0,0,0,0.0,43,32,11,1,1,0,15
2016,Janoris Jenkins,3,26,0,23,18,1,1,0,0,0,1.0,49,44,5,5,1,0,12
2016,Josh Norman,3,38,0,35,19,2,0,0,0,0,0.0,67,52,15,2,1,0,5
2016,Chris Harris Jr.,2,36,0,36,11,1,0,1,6,0,0.0,63,57,6,1,0,0,15
2016,Casey Hayward,7,102,1,31,20,0,0,0,0,0,0.0,58,51,7,1,0,0,12
2016,Xavier Rhodes,5,133,1,100,11,1,0,0,0,0,0.0,52,44,8,2,0,0,9
2016,Malcolm Butler,4,28,0,21,17,1,0,2,2,0,1.0,63,48,15,1,1,0,14
2017,Jalen Ramsey,4,34,0,18,17,0,0,0,0,0,0.0,63,52,11,2,0,0,15
2017,Patrick Peterson,1,22,0,22,8,0,0,1,47,0,0.0,34,30,4,0,0,0,9
2017,A. J. Bouye,6,70,0,51,18,0,0,0,0,0,0.0,56,53,3,0,0,0,12
2017,Darius Slay,8,73,0,37,26,0,0,1,0,0,0.0,60,54,6,1,0,0,14
2017,Aqib Talib,1,103,1,103,7,1,0,0,0,0,0.0,31,23,8,0,0,0,9
2017,Xavier Rhodes,2,23,0,21,10,0,0,0,0,0,0.0,56,44,12,1,0,0,12
2017,Casey Hayward,4,7,0,7,22,1,0,2,11,0,0.0,40,33,7,2,0,0,13
2017,Richard Sherman,2,20,0,19,7,0,0,1,0,0,0.0,35,25,10,1,0,0,4
2017,Marcus Peters,5,137,0,62,9,3,1,2,45,1,0.0,46,42,4,2,0,0,7
2017,Marshon Lattimore,5,85,1,33,18,1,0,1,0,0,0.0,52,43,9,1,0,0,8
2017,Chris Harris Jr.,2,36,0,23,7,1,0,0,0,0,0.0,40,32,8,1,0,0,6
2018,Stephon Gilmore,2,0,0,0,20,2,0,1,0,0,1.0,45,40,5,1,1,0,15
2018,Jalen Ramsey,3,0,0,0,13,0,0,0,0,0,0.0,65,62,3,2,0,0,10
2018,Patrick Peterson,2,0,0,0,5,0,0,1,49,0,1.0,54,45,9,2,1,0,9
2018,Xavien Howard,7,52,0,39,12,0,0,1,0,0,0.0,35,25,10,1,0,0,11
2018,Darius Slay,3,107,1,67,17,0,0,0,0,0,0.0,43,40,3,1,0,0,9
2018,Kyle Fuller,7,52,0,35,21,0,0,0,0,0,0.0,55,45,10,0,0,0,16
2018,Byron Jones,0,0,0,0,14,0,0,0,0,0,0.0,67,56,11,2,0,0,11
2019,Stephon Gilmore,6,126,2,64,20,0,0,1,0,0,0.0,53,44,9,0,0,0,22
2019,Richard Sherman,3,65,1,31,11,0,0,0,0,0,0.0,61,48,13,2,0,0,12
2019,Jalen Ramsey,1,13,0,13,5,2,0,0,0,0,0.0,50,44,6,0,0,0,9
2019,Tre'Davious White,6,57,0,49,17,2,0,0,0,0,1.0,58,48,10,4,1,0,19
2019,Marcus Peters,5,210,3,89,14,0,0,1,0,0,0.0,53,40,13,1,0,0,14
2019,Logan Ryan,4,16,0,16,18,4,0,0,0,0,4.5,113,73,40,4,8,0,7
2019,Marshon Lattimore,1,0,0,0,14,0,0,0,0,0,0.0,57,46,11,1,0,0,7
2019,Marlon Humphrey,3,14,0,14,14,2,0,3,91,2,0.0,65,53,12,4,1,0,16
2019,Darius Slay,2,19,0,19,13,0,0,1,38,0,0.0,46,36,10,0,0,0,7
2020,Jalen Ramsey,1,2,0,2,9,0,0,0,0,0,0.0,44,36,8,2,1,0,15
2020,Xavien Howard,10,77,0,29,20,1,0,0,0,0,0.0,51,40,11,1,0,0,18
2020,Marlon Humphrey,1,8,0,8,11,8,0,0,0,0,2.5,82,70,12,4,4,1,10
2020,Jaire Alexander,1,-4,0,-4,13,1,0,0,0,0,1.0,51,40,11,2,1,1,11
2020,Stephon Gilmore,1,15,0,15,3,1,0,0,0,0,0.0,37,30,7,1,0,0,6
2020,James Bradberry,3,19,0,19,18,2,0,1,0,0,0.0,54,44,10,0,0,0,10
2020,Marshon Lattimore,2,13,0,13,11,0,0,0,0,0,0.0,62,52,10,2,0,0,8
2020,Tre'Davious White,3,28,0,28,11,1,0,2,-1,0,1.5,57,44,13,2,3,0,11
2010,Ed Reed,8,183,0,44,16,1,2,1,0,0,0.0,37,30,7,0,0,0,11
2010,Troy Polamalu,7,101,1,45,11,1,0,1,0,0,1.0,63,49,14,6,2,0,16
2010,Antrel Rolle,1,36,0,36,4,1,0,2,4,0,0.5,87,76,11,7,8,0,10
2010,Adrian Wilson,2,4,0,4,9,0,0,0,0,0,2.0,88,76,12,6,6,0,7
2010,Eric Berry,4,102,1,54,9,1,0,0,0,0,2.0,92,77,15,5,6,0,11
2010,Nick Collins,4,34,0,24,12,0,0,2,26,1,0.0,70,59,11,1,2,0,12
2011,Ed Reed,3,25,0,16,8,1,0,0,0,0,1.0,52,44,8,1,1,0,11
2011,Troy Polamalu,2,33,0,33,14,0,0,1,16,1,1.0,91,64,27,7,4,0,17
2011,Earl Thomas,2,19,0,11,7,1,0,2,0,0,0.0,98,69,29,6,1,0,12
2012,Ed Reed,4,78,1,34,15,0,0,3,31,0,0.0,58,49,9,1,0,0,11
2012,Earl Thomas,3,80,1,57,8,1,0,1,0,0,0.0,66,42,24,2,2,0,15
2012,Bernard Pollard,1,0,0,0,5,0,0,0,0,0,2.0,98,71,27,6,3,0,5
2012,Troy Polamalu,1,1,0,1,3,0,0,0,0,0,1.0,34,29,5,1,1,0,4
2012,Dashon Goldson,3,21,0,20,12,1,0,2,71,0,0.0,69,55,14,1,0,0,9
2013,Earl Thomas,5,9,0,11,9,2,0,0,0,0,0.0,105,78,27,0,0,0,16
2013,Eric Berry,3,134,2,49,11,2,0,2,24,0,3.5,74,66,8,11,7,0,12
2013,Troy Polamalu,2,36,1,19,11,5,0,1,0,0,2.0,69,50,19,7,2,0,9
2013,Kam Chancellor,3,78,0,32,6,1,0,0,0,0,0.0,99,65,34,3,1,0,12
2013,Antrel Rolle,6,23,0,25,12,1,0,1,10,0,2.0,98,80,18,4,2,0,13
2013,T. J. Ward,2,57,1,44,5,0,0,1,51,1,1.5,112,75,37,9,2,0,11
2013,Eric Weddle,2,21,0,21,9,1,0,2,27,0,1.0,115,88,27,5,2,0,10
2014,Earl Thomas,1,47,0,47,5,4,1,1,0,0,0.0,97,71,26,1,0,0,14
2014,Kam Chancellor,1,52,0,52,6,1,0,0,0,0,0.0,78,60,18,1,0,0,10
2014,Charles Woodson,4,35,0,30,8,0,0,1,0,0,1.0,113,83,30,4,1,0,6
2014,Tashaun Gipson,6,158,1,62,8,1,0,0,0,0,0.0,52,28,24,2,0,0,9
2014,Eric Weddle,1,17,0,17,8,2,0,0,0,0,0.0,114,91,23,2,0,0,13
2014,Glover Quin,7,117,0,56,10,0,0,0,0,0,0.0,73,57,16,2,0,0,11
2015,Tyrann Mathieu,5,92,1,33,17,1,0,0,0,0,1.0,89,80,9,11,3,0,12
2015,Kam Chancellor,2,6,0,6,4,1,0,0,0,0,0.0,74,44,30,1,0,0,8
2015,Eric Berry,2,40,0,25,10,0,0,0,0,0,0.0,61,55,6,0,0,0,10
2015,Reggie Nelson,8,115,0,37,14,0,0,2,25,0,0.0,77,52,25,2,0,0,13
2015,Reshad Jones,5,104,2,42,10,0,1,1,9,0,2.0,135,106,29,9,2,0,9
2015,Earl Thomas,5,67,0,32,9,1,0,0,0,0,0.0,64,45,19,0,0,0,10
2015,T.J. Ward,0,0,0,0,6,2,0,0,0,0,2.0,61,50,11,4,3,0,5
2015,Harrison Smith,2,35,1,35,3,1,0,0,0,0,1.5,66,49,17,3,6,0,7
2016,Eric Berry,4,98,2,42,9,1,0,0,0,0,0.0,77,62,15,2,0,0,13
2016,Landon Collins,5,72,1,44,13,0,0,1,6,0,4.0,125,100,25,9,5,0,14
2016,Earl Thomas,2,5,0,5,10,0,0,1,34,1,0.0,48,24,24,0,0,0,5
2016,Kam Chancellor,2,5,0,5,8,1,0,0,0,0,0.0,86,51,35,3,0,0,4
2016,Harrison Smith,0,0,0,0,2,0,0,2,0,0,2.0,91,69,22,4,3,0,7
2016,Ha Ha Clinton-Dix,5,75,0,27,7,1,0,0,0,0,0.5,80,62,18,1,1,0,9
2016,Malcolm Jenkins,3,98,2,64,9,0,0,1,0,0,1.0,72,47,25,3,3,0,7
2017,Earl Thomas,2,97,1,78,7,1,0,0,0,0,0.0,88,56,32,1,0,0,9
2017,Harrison Smith,5,42,0,19,12,0,0,0,0,0,1.5,78,61,17,7,3,0,13
2017,Micah Hyde,5,64,0,37,13,0,0,0,0,0,0.0,82,65,17,2,0,0,10
2017,Kam Chancellor,0,0,0,0,2,1,0,0,0,0,0.0,49,34,15,2,0,1,3
2017,Kevin Byard,8,130,0,33,16,0,0,2,6,0,0.0,87,62,25,3,3,0,14
2017,Landon Collins,2,21,0,21,6,1,0,2,33,0,0.0,104,78,26,3,2,0,8
2017,Malcolm Jenkins,2,0,0,0,8,1,1,1,0,0,1.0,76,63,13,5,2,0,10
2017,Ha Ha Clinton-Dix,3,5,0,3,6,0,0,0,0,0,0.0,79,65,14,2,0,0,5
2018,Eddie Jackson,6,81,2,41,15,2,0,1,65,1,1.0,51,41,10,2,1,0,13
2018,Derwin James,3,30,0,23,13,0,0,0,0,0,3.5,105,75,30,4,6,0,10
2018,Jamal Adams,1,38,0,38,12,3,0,1,5,0,3.5,115,86,29,9,8,0,10
2018,Harrison Smith,3,66,0,52,6,1,0,2,0,0,3.0,84,67,17,9,5,0,11
2018,Devin McCourty,1,84,1,84,4,1,0,2,14,0,0.0,82,59,23,1,0,0,6
2018,Eric Weddle,0,0,0,0,3,0,0,0,0,0,1.0,68,54,14,2,4,0,9
2019,Jamal Adams,1,61,1,61,7,2,0,1,25,1,6.5,75,61,14,10,13,0,14
2019,Minkah Fitzpatrick,5,130,1,96,9,2,0,3,79,1,0.0,69,44,25,1,1,0,16
2019,Tyrann Mathieu,4,70,0,35,12,0,0,0,0,0,2.0,75,63,12,3,2,0,9
2019,Harrison Smith,3,13,0,13,11,3,0,2,0,0,1.0,85,65,20,4,2,0,7
2019,Earl Thomas,2,38,0,24,4,1,0,1,6,0,2.0,49,32,17,2,6,0,8
2019,Budda Baker,0,0,0,0,6,1,0,1,0,0,0.5,147,104,43,7,2,0,6
2020,Budda Baker,2,90,0,90,6,1,0,0,0,0,2.0,118,90,28,7,3,0,14
2020,Jamal Adams,0,0,0,0,3,1,0,0,0,0,9.5,83,59,24,11,14,0,9
2020,Justin Simmons,5,90,0,46,9,0,0,1,18,0,0.0,96,77,19,3,0,0,9
2020,Minkah Fitzpatrick,4,77,1,37,11,1,0,1,-1,0,0.0,79,60,19,1,0,0,14
2020,Tyrann Mathieu,6,70,1,25,9,0,0,1,-2,0,0.0,62,48,14,3,2,0,12
2020,Quandre Diggs,5,57,0,32,10,0,0,0,0,0,0.0,64,42,22,0,0,0,9
2020,Jessie Bates,3,12,0,12,15,1,0,0,0,0,0.0,109,78,31,2,1,0,10
